330.8657,81.87299,-163.7973,173.2115,15.4255,-3.72E-08
333.2498,60.96455,-161.3077,171.325,15.84932,8.74E-07
335.4489,40.57195,-157.1938,171.9338,18.3624,1.78E-07
336.764,20.30931,-151.7036,175.1307,19.42176,-7.98E-07
337.6857,-1.385236,-148.8748,178.8393,19.96758,5.32E-07
338.9614,-21.63457,-148.9233,178.8647,19.96914,-1.98E-07
341.8178,-41.98562,-149.6776,174.862,19.3549,-8.01E-07
351.2691,-60.1216,-147.4304,164.5264,12.82973,4.12E-07
371.0825,-66.22675,-148.6625,160.0194,0.8994788,-4.59E-08
390.7994,-60.00078,-149.6002,164.4911,-12.78655,2.64E-07
399.92,-41.77442,-151.2103,176.8644,-19.76271,-2.13E-07
398.9958,-21.42605,-150.8401,-177.4383,-19.84192,-1.33E-07
396.8293,-1.073069,-150.3084,-178.0781,-19.91122,-3.57E-07
394.7138,18.73198,-152.3647,178.9533,-19.97372,1.21E-06
395.3031,40.27986,-155.5336,175.2397,-19.44775,9.29E-07
397.8322,60.60756,-160.1236,172.7812,-18.70179,-3.08E-07
403.076,80.55821,-162.6828,171.5982,-14.81852,2.71E-07
407.6322,100.3326,-163.841,174.5658,-17.48729,9.01E-07
408.5265,121.0334,-164.7195,178.9637,-16.87195,-3.03E-07
405.6284,142.2355,-164.546,-173.5948,-13.12494,2.92E-07
397.7707,163.4433,-163.0495,-170.4941,-9.900582,-1.17E-07
385.8269,179.5077,-161.1519,-160.7095,-5.383603,8.48E-08
365.7235,181.6794,-160.7905,-160.6606,5.198338,-1.96E-07
352.5322,166.7833,-164.0009,-173.471,1.888054,-7.59E-08
341.7892,149.1378,-165.5451,-170.6788,11.21947,3.34E-07
334.2494,129.2839,-166.6763,-174.9353,18.62239,7.44E-07
330.668,106.3677,-165.7897,177.7981,17.02295,-2.50E-07
330.4785,83.35124,-163.8373,173.7857,16.85513,5.29E-07
330.8657,81.87299,-163.7973,173.2115,15.4255,-3.72E-08
